Date,Broker,Ticker,Lot,Avg,Value
2025-10-01,BQ,AALI,1204,8018.801652892562,965485000
2025-10-01,YP,AALI,1165,8020.498579178507,934620000
2025-10-01,XL,AALI,780,8009.073935772965,625042500
2025-10-01,YU,AALI,723,8000,578395000
2025-10-01,CC,AALI,626,8001.392365456821,494307500
2025-10-01,AG,AALI,15,7983.333333333333,11975000
2025-10-01,TP,AALI,123,8027.03125,98662500
2025-10-01,KI,AALI,96,8025,77050000
2025-10-01,GR,AALI,327,8003.251445086706,261630000
2025-10-01,DX,AALI,39,8068.589743589743,31467500
2025-10-01,RO,AALI,1,8050,805000
2025-10-01,MI,AALI,200,8037.5,160750000
2025-10-01,MG,AALI,125,8040,100500000
2025-10-01,LG,AALI,23,8023.4375,18550000
2025-10-01,HD,AALI,8,8025,6422500
2025-10-01,ES,AALI,301,7975.166112956811,240052500
2025-10-01,DH,AALI,204,8024.083333333333,163587500
2025-10-01,IF,AALI,3,8012.5,2427500
2025-10-01,OD,AALI,100,8004.026217228465,80382500
2025-10-01,PC,AALI,3,8000,2400000
2025-10-01,RG,AALI,2,8000,1600000
2025-10-01,CD,AALI,200,8050,161000000
2025-10-01,AZ,AALI,72,7981.203007518797,57497500
2025-10-01,PP,AALI,15,8075,12112500
2025-10-01,PD,AALI,124,8032.345575959933,100090000
2025-10-01,AI,AALI,-487,7950,-387075000
2025-10-01,AK,AALI,-1882,8033.56774496015,-1513980000
2025-10-01,ZP,AALI,-2004,8007.96178343949,-1603882500
2025-10-01,BK,AALI,-747,8028.731343283582,-600145000
2025-10-01,BS,AALI,-400,8000,-320000000
2025-10-01,SQ,AALI,-260,7995.128939828081,-207750000
2025-10-01,HP,AALI,-2,7975,-1582500
2025-10-01,XA,AALI,-65,8033.333333333333,-52300000
2025-10-01,FS,AALI,-25,8025,-20062500
2025-10-01,RF,AALI,-32,8000,-25675000
2025-10-01,NI,AALI,-147,7977.061310782241,-116307500
2025-10-01,MU,AALI,-4,8000,-3200000
2025-10-01,YB,AALI,-33,8022.727272727273,-26475000
2025-10-01,EP,AALI,-104,8009.297520661157,-82770000
2025-10-01,XC,AALI,-76,8003.756476683938,-60322500
2025-10-01,KK,AALI,-98,7974.600638977636,-74792500
2025-10-01,DR,AALI,-88,8000,-70462500
2025-10-01,AT,AALI,-26,8000,-20800000
2025-10-01,PD,ABBA,22407,56.99325890035812,127703900
2025-10-01,AK,ABBA,16000,54.5,87200000
2025-10-01,IF,ABBA,3820,56.9869109947644,21769000
2025-10-01,AT,ABBA,2000,52,10400000
2025-10-01,DH,ABBA,250,52,1300000
2025-10-01,BQ,ABBA,213,56.81220657276995,1210100
2025-10-01,EP,ABBA,226,55.43878954607978,1175200
2025-10-01,HD,ABBA,200,57,1140000
2025-10-01,CP,ABBA,173,57,986100
2025-10-01,TP,ABBA,11,52.45454545454545,57700
2025-10-01,YB,ABBA,-3000,57,-17100000
2025-10-01,CC,ABBA,-9642,56.90127130105491,-54874900
2025-10-01,XL,ABBA,-10059,54.973677675689096,-52904300
2025-10-01,YP,ABBA,-7308,56.34377527964518,-40244600
2025-10-01,HP,ABBA,2,57,-1100
2025-10-01,XC,ABBA,-4763,55.55806022292464,-28333100
2025-10-01,OD,ABBA,-3468,55.69315211709357,-19396600
2025-10-01,RG,ABBA,-4,52,-20800
2025-10-01,PC,ABBA,-17,57,-96900
2025-10-01,SQ,ABBA,-3055,57,-17413500
2025-10-01,MG,ABBA,-2745,57,-15646500
2025-10-01,KK,ABBA,-615,53.96969696969697,-3360500
2025-10-01,GI,ABBA,-4,53.875,-22300
2025-10-01,LG,ABBA,-34,52,-169300
2025-10-01,GR,ABBA,-20,57,-114000
2025-10-01,AZ,ABBA,-500,57,-2850000
2025-10-01,AI,ABBA,-50,57,-285000
2025-10-01,NI,ABBA,-18,57,-108600
2025-10-01,GR,ABMM,620,2880,178560000
2025-10-01,ES,ABMM,858,2875,246675000
2025-10-01,TP,ABMM,454,2870,130298000
2025-10-01,PD,ABMM,356,2882.31654676259,102965000
2025-10-01,XA,ABMM,14,2876.6666666666665,4028000
2025-10-01,RF,ABMM,8,2873.75,2299000
2025-10-01,AZ,ABMM,320,2870.46875,91855000
2025-10-01,ZP,ABMM,259,2880,74592000
2025-10-01,DR,ABMM,205,2879.6153846153848,59032000
2025-10-01,LG,ABMM,3,2870,861000
2025-10-01,BR,ABMM,1,2870,287000
2025-10-01,DH,ABMM,31,2870,8886000
2025-10-01,NI,ABMM,150,2878.476821192053,43178000
2025-10-01,KI,ABMM,26,2870,7462000
2025-10-01,KK,ABMM,35,2877.9166666666665,10102000
2025-10-01,IF,ABMM,32,2873.75,9196000
2025-10-01,MG,ABMM,25,2870,7175000
2025-10-01,SQ,ABMM,-308,2877.3156342182892,-88635000
2025-10-01,YP,ABMM,-1307,2875.683632734531,-375631000
2025-10-01,CC,ABMM,-543,2878.4249263984298,-157241000
2025-10-01,XC,ABMM,-356,2870.309653916211,-102052000
2025-10-01,YU,ABMM,-262,2872.644927536232,-75263000
2025-10-01,CD,ABMM,-3,2890,-867000
2025-10-01,AK,ABMM,-222,2871.315789473684,-63738000
2025-10-01,BK,ABMM,-104,2870,-29846000
2025-10-01,YB,ABMM,-100,2870,-28700000
2025-10-01,EP,ABMM,-96,2880,-27691000
2025-10-01,XL,ABMM,-19,2877.409793814433,-5534000
2025-10-01,OD,ABMM,-77,2881.4285714285716,-22253000
2025-10-01,XL,ACES,51833,424.5653470079527,2200657600
2025-10-01,ZP,ACES,95354,426.30371340053233,4071169600
2025-10-01,YP,ACES,33815,423.7976460556968,1415173600
2025-10-01,BR,ACES,6300,422,265860000
2025-10-01,ID,ACES,2000,422,84400000
2025-10-01,YU,ACES,5428,423.9160583941606,230106800
2025-10-01,BQ,ACES,1598,422.9183595247221,67675200
2025-10-01,PC,ACES,283,422.04620462046205,11944000
2025-10-01,RG,ACES,2350,422.17021276595744,99210000
2025-10-01,DR,ACES,22904,426.30519115751906,978514600
2025-10-01,OD,ACES,6732,426.09220862846104,287062800
2025-10-01,PD,ACES,15324,423.2116362423939,645630400
2025-10-01,KK,ACES,4157,425.4676174660545,176854200
2025-10-01,KI,ACES,1033,420.1064859632139,43397000
2025-10-01,CC,ACES,1862,428.06828040212974,85000600
2025-10-01,EP,ACES,1185,424.217906079553,50250600
2025-10-01,NI,ACES,13875,424.77491089003564,586707000
2025-10-01,AT,ACES,2180,422.5857497928749,92029200
2025-10-01,AG,ACES,632,422.08490566037733,26675000
2025-10-01,GR,ACES,11042,424.59023656934886,468907400
2025-10-01,XC,ACES,9373,423.9482126489459,397449600
2025-10-01,DH,ACES,9041,423.53793532338307,382355600
2025-10-01,AZ,ACES,297,424.43882978723406,12591000
2025-10-01,YB,ACES,1407,422.7869318181818,59486200
