Date,Broker,Ticker,Lot,Avg,Value
2025-10-09,BQ,AALI,66,7519.594594594595,49597500
2025-10-09,CC,AALI,12947,7713.3606612010935,9996455000
2025-10-09,YU,AALI,2563,7681.954505940307,1967640000
2025-10-09,BK,AALI,1475,7660.741138560687,1133277500
2025-10-09,DH,AALI,956,7729.592651757189,738747500
2025-10-09,TP,AALI,847,7623.380355276907,643957500
2025-10-09,IF,AALI,1,7750,775000
2025-10-09,AG,AALI,515,7677.378640776699,395385000
2025-10-09,NI,AALI,79,7621.902546523017,31515000
2025-10-09,PP,AALI,23,7800,17940000
2025-10-09,KI,AALI,21,7600,15942500
2025-10-09,YB,AALI,1,7786.538461538462,792500
2025-10-09,GR,AALI,-1947,7718.259072117593,-1503515000
2025-10-09,BB,AALI,-4079,7716.149791615592,-3147417500
2025-10-09,KK,AALI,-2490,7616.666666666667,-1896185000
2025-10-09,ES,AALI,-15,7600,-11400000
2025-10-09,ZP,AALI,-1941,7646.578467153285,-1477352500
2025-10-09,OD,AALI,-466,7760.680970149254,-361837500
2025-10-09,HP,AALI,-65,7602.53164556962,-49135000
2025-10-09,PD,AALI,-225,7703.55421686747,-176552500
2025-10-09,RO,AALI,-100,7800,-78000000
2025-10-09,XC,AALI,-428,7705.337519623234,-329867500
2025-10-09,SQ,AALI,-382,7695.776566757493,-291045000
2025-10-09,XA,AALI,-79,7758.544303797468,-61292500
2025-10-09,LS,AALI,-42,7600,-31912500
2025-10-09,AZ,AALI,-1859,7713.672707889125,-1433870000
2025-10-09,DX,AALI,-127,7680.314960629921,-97540000
2025-10-09,LG,AALI,-485,7702.730696798493,-373737500
2025-10-09,AK,AALI,-153,7733.231357552581,-126842500
2025-10-09,YP,AALI,-1296,7707.184700206754,-994070000
2025-10-09,AI,AALI,-330,7782.142857142857,-256775000
2025-10-09,YJ,AALI,-26,7825,-20545000
2025-10-09,DR,AALI,-87,7682.64705882353,-67320000
2025-10-09,XL,AALI,-1092,7701.333195535345,-841042500
2025-10-09,CP,AALI,-279,7680.873261205564,-214320000
2025-10-09,EP,AALI,-867,7680.010952902519,-666197500
2025-10-09,CD,AALI,-611,7628.641571194763,-466110000
2025-10-09,KK,ABBA,17851,96.8529279885212,172826700
2025-10-09,AK,ABBA,38989,95.46746518248737,372218100
2025-10-09,XA,ABBA,4500,97,43650000
2025-10-09,DH,ABBA,25418,96.99666613239302,246544200
2025-10-09,XL,ABBA,23757,94.90877654164515,220871700
2025-10-09,AI,ABBA,13250,97,128525000
2025-10-09,SQ,ABBA,5826,95.71846096929337,55473000
2025-10-09,XC,ABBA,12206,95.474947429483,116296600
2025-10-09,AT,ABBA,39,91.05809128630706,235100
2025-10-09,AG,ABBA,1158,95.77466863033874,11066200
2025-10-09,CC,ABBA,12898,91.12791666666666,113836200
2025-10-09,EP,ABBA,443,96.86314152410576,4288300
2025-10-09,GR,ABBA,10874,96.98557388873861,105461800
2025-10-09,LG,ABBA,3248,96.8823875330785,31465600
2025-10-09,PI,ABBA,2835,93.86490299823633,26610700
2025-10-09,HD,ABBA,1949,97,18946100
2025-10-09,CP,ABBA,1546,97,14999400
2025-10-09,GI,ABBA,2,89,17800
2025-10-09,PD,ABBA,8492,96.63420235039848,82791600
2025-10-09,TP,ABBA,5980,96.96610169491525,57982000
2025-10-09,MG,ABBA,-4384,89.85816235504014,-39322400
2025-10-09,YP,ABBA,-141889,95.13625414031918,-1348182500
2025-10-09,KI,ABBA,-11197,97,-108610900
2025-10-09,OD,ABBA,-7878,96.99833978970669,-76460600
2025-10-09,YU,ABBA,-405,97,-3928500
2025-10-09,DR,ABBA,-7137,97,-69236900
2025-10-09,ZP,ABBA,-301,97,-2919700
2025-10-09,BQ,ABBA,-5077,97,-49246900
2025-10-09,YB,ABBA,-4792,96.9968639749118,-46480800
2025-10-09,MU,ABBA,-2000,97,-19400000
2025-10-09,TF,ABBA,-182,97,-1765400
2025-10-09,ES,ABBA,-20,97,-194000
2025-10-09,PC,ABBA,-500,97,-4850000
2025-10-09,AZ,ABBA,-1654,97,-16043800
2025-10-09,NI,ABBA,-1054,97,-10383800
2025-10-09,HP,ABBA,-1088,97,-10563200
2025-10-09,IF,ABBA,-1500,97,-14550000
2025-10-09,YJ,ABBA,-3,89,-26700
2025-10-09,IN,ABBA,-200,97,-1940000
2025-10-09,DH,ABMM,163,2784.285714285714,45372000
2025-10-09,YP,ABMM,2299,2805.9912300946226,647011000
2025-10-09,HP,ABMM,60,2783.3333333333335,16700000
2025-10-09,TP,ABMM,884,2777.5028121484816,245525000
2025-10-09,AI,ABMM,684,2806.4912280701756,191964000
2025-10-09,RG,ABMM,1,2740,274000
2025-10-09,BR,ABMM,10,2790,2790000
2025-10-09,LG,ABMM,1,2800,280000
2025-10-09,XL,ABMM,359,2789.452319587629,100971000
2025-10-09,AZ,ABMM,142,2783.5915492957747,39527000
2025-10-09,IN,ABMM,10,2790,2790000
2025-10-09,MG,ABMM,5,2790,1395000
2025-10-09,KK,ABMM,115,2785.5938697318006,32253000
2025-10-09,CP,ABMM,83,2780,23174000
2025-10-09,DR,ABMM,26,2781.206896551724,7417000
2025-10-09,SQ,ABMM,4,2779.8425196850394,1646000
2025-10-09,NI,ABMM,82,2773.8607594936707,22572000
2025-10-09,GR,ABMM,77,2799.1071428571427,21564000
2025-10-09,BK,ABMM,-419,2782.0676691729323,-116187000
2025-10-09,EP,ABMM,-1364,2779.130127298444,-379024000
2025-10-09,PD,ABMM,-884,2794.7184466019417,-247371000
2025-10-09,XC,ABMM,-804,2797.1042830540036,-225383000
2025-10-09,OD,ABMM,-16,2795.5223880597014,-4562000
2025-10-09,CC,ABMM,-701,2804.0921919096895,-201955000
2025-10-09,CD,ABMM,-300,2800,-84000000
2025-10-09,BS,ABMM,-2,2780,-556000
2025-10-09,ES,ABMM,-163,2808.40490797546,-45777000
2025-10-09,ZP,ABMM,-5,2780,-1388000
2025-10-09,YU,ABMM,-161,2800,-45082000
2025-10-09,HD,ABMM,-6,2793.3333333333335,-1670000
2025-10-09,XA,ABMM,-150,2800,-42000000
2025-10-09,RF,ABMM,-10,2750,-2750000
2025-10-09,RS,ABMM,-1,2790,-279000
2025-10-09,AK,ABMM,-19,2762.2727272727275,-5241000
2025-10-09,MG,ACES,9618,425.9251403618216,409654800
2025-10-09,TP,ACES,16061,426.2418715583459,684860200
2025-10-09,YU,ACES,15237,426.1823214847436,649421600
2025-10-09,HD,ACES,185,426.0816326530612,7929000
2025-10-09,BB,ACES,58,425.7241379310345,2469200
2025-10-09,SS,ACES,50,424,2120000
2025-10-09,CC,ACES,11713,425.7365015568756,498087000
2025-10-09,BK,ACES,9226,426.42997267568137,393400800
2025-10-09,AK,ACES,9037,426.61871336900873,389136800
2025-10-09,PD,ACES,7809,426.9279930136551,333379400
2025-10-09,XL,ACES,4174,426.1036512462062,177119000
2025-10-09,AO,ACES,50,424,2100000
2025-10-09,AI,ACES,300,424,12720000
2025-10-09,IF,ACES,100,426,4260000
2025-10-09,DH,ACES,3318,426.02996616723055,141415800
2025-10-09,PP,ACES,262,428,11213600
2025-10-09,IU,ACES,10,424,424000
2025-10-09,PC,ACES,5,424,212000
2025-10-09,DX,ACES,3221,424.38843721770553,136679400
2025-10-09,HP,ACES,259,424.4659498207885,10994600
2025-10-09,NI,ACES,2956,426.6120911114917,125893800
2025-10-09,KK,ACES,1093,426.7220494053065,46481800
2025-10-09,SQ,ACES,-5660,426.6399334930803,-244701000
2025-10-09,KZ,ACES,-44674,425.57595021712854,-1901218000
2025-10-09,ZP,ACES,-11051,424.2063747984621,-468093600
2025-10-09,LS,ACES,-800,428,-34240000
2025-10-09,CD,ACES,-5,430,-215000
2025-10-09,YB,ACES,-228,427.7467248908297,-9753200
2025-10-09,EP,ACES,-5583,425.9503687462627,-237483000
2025-10-09,GR,ACES,-1117,428.30080572963294,-47841200
2025-10-09,AZ,ACES,-279,424.8181818181818,-11852200
2025-10-09,YP,ACES,-4380,426.90139431121025,-189525600
2025-10-09,LG,ACES,-1027,426,-43758200
2025-10-09,DR,ACES,-4190,424.77658862876257,-177677600
2025-10-09,BQ,ACES,-3792,427.65043932557586,-162314800
2025-10-09,AG,ACES,-253,427.986798679868,-10843000
2025-10-09,IN,ACES,-10,428,-428000
2025-10-09,MU,ACES,0,428,-20000
2025-10-09,ZR,ACES,-5,426,-213000
2025-10-09,DP,ACES,-4,428,-171200
2025-10-09,XA,ACES,-2496,429.8505968425106,-107331600
2025-10-09,RG,ACES,-613,426,-26113800
2025-10-09,KI,ACES,-304,424.93992932862193,-12890200
2025-10-09,CP,ACES,-3217,426.66365581174233,-137433400
2025-10-09,AT,ACES,-597,427.60427807486633,-25635000
2025-10-09,XC,ACES,-1513,426.5931909982689,-64751400
