Date,Broker,Ticker,Lot,Avg,Value
2025-10-14,CC,AALI,632,7866.374092009685,493712500
2025-10-14,AK,AALI,8819,7862.338416481519,6933872500
2025-10-14,YU,AALI,709,7876.926926926927,570547500
2025-10-14,TP,AALI,692,7880.804749340369,545422500
2025-10-14,ZP,AALI,455,7826.599326599327,355222500
2025-10-14,YP,AALI,200,7888.466536712151,156220000
2025-10-14,CD,AALI,100,7850,78500000
2025-10-14,AO,AALI,90,7900,71125000
2025-10-14,XA,AALI,80,7799.038461538462,62762500
2025-10-14,PP,AALI,50,7875,39375000
2025-10-14,HD,AALI,6,7870.75,4667500
2025-10-14,CP,AALI,-1912,7852.470098803952,-1501422500
2025-10-14,XL,AALI,-2104,7888.747245829399,-1663260000
2025-10-14,MG,AALI,-87,7891.046511627907,-69817500
2025-10-14,BQ,AALI,-49,7775,-38355000
2025-10-14,XC,AALI,-1705,7811.432025792585,-1330732500
2025-10-14,AZ,AALI,-978,7946.555217831814,-777292500
2025-10-14,DX,AALI,-107,7847.897196261682,-83972500
2025-10-14,GR,AALI,-224,7859.938524590164,-176032500
2025-10-14,AI,AALI,-210,7745.238095238095,-162650000
2025-10-14,LS,AALI,-45,7883.333333333333,-35475000
2025-10-14,DR,AALI,-198,7843.016194331984,-155390000
2025-10-14,PD,AALI,-714,7822.455845248108,-557115000
2025-10-14,DH,AALI,-699,7899.893917963225,-552240000
2025-10-14,AG,AALI,-280,7862.5,-221650000
2025-10-14,LG,AALI,-671,7855.177514792899,-527130000
2025-10-14,NI,AALI,-476,7847.6909413854355,-374112500
2025-10-14,EP,AALI,-121,7815.630769230769,-90860000
2025-10-14,HP,AALI,-46,7813.586956521739,-35942500
2025-10-14,SQ,AALI,-34,7889.12429378531,-28497500
2025-10-14,OD,AALI,-175,7920.792079207921,-138702500
2025-10-14,IF,AALI,-99,7900,-78710000
2025-10-14,KK,AALI,-429,7901.539101497504,-340295000
2025-10-14,BK,AALI,-133,7873.92703862661,-105950000
2025-10-14,MI,AALI,-200,7900,-158000000
2025-10-14,AT,AALI,-74,7835.810810810811,-57985000
2025-10-14,YP,ABBA,55627,76.44944789284547,422510200
2025-10-14,XL,ABBA,22961,75.48135524636598,185077800
2025-10-14,CC,ABBA,17113,79.86906546726637,141208000
2025-10-14,HD,ABBA,3700,77,28760000
2025-10-14,PI,ABBA,3580,67,23986000
2025-10-14,XA,ABBA,10,80,80000
2025-10-14,QA,ABBA,10,68,68000
2025-10-14,CP,ABBA,1160,70.17241379310344,8140000
2025-10-14,RB,ABBA,274,67,535800
2025-10-14,GI,ABBA,7,75.66666666666667,52100
2025-10-14,DX,ABBA,1000,67,6700000
2025-10-14,YU,ABBA,300,80,2400000
2025-10-14,OD,ABBA,288,79.88005578800558,2360200
2025-10-14,AG,ABBA,50,80,400000
2025-10-14,BQ,ABBA,78,70.5,549900
2025-10-14,PD,ABBA,-3867,75.42884754771684,-29339100
2025-10-14,AO,ABBA,-40149,67,-268998300
2025-10-14,SQ,ABBA,-22269,80,-179264800
2025-10-14,XC,ABBA,-15309,77.13568942436412,-118794900
2025-10-14,GR,ABBA,-7758,80,-62454000
2025-10-14,NI,ABBA,-4877,79.98163733741393,-39462700
2025-10-14,LG,ABBA,-369,67.88075880758808,-2504800
2025-10-14,ZP,ABBA,-101,80,-808000
2025-10-14,EP,ABBA,-2703,79.8146877144818,-21570000
2025-10-14,HP,ABBA,-50,68,-340000
2025-10-14,AZ,ABBA,-6,80,-48000
2025-10-14,IF,ABBA,-3005,67.99833610648919,-20433500
2025-10-14,MG,ABBA,-1271,80,-10943000
2025-10-14,TP,ABBA,-163,80,-1330000
2025-10-14,KI,ABBA,-1,68,-6800
2025-10-14,DH,ABBA,-2050,68,-13965000
2025-10-14,YJ,ABBA,-100,68,-680000
2025-10-14,YB,ABBA,1995,80,-18035000
2025-10-14,DR,ABBA,-1552,80,-13400100
2025-10-14,KK,ABBA,-1821,80,-14594000
2025-10-14,RF,ABBA,-700,80,-5600000
2025-10-14,AT,ABBA,-32,80,-256000
2025-10-14,SQ,ABMM,86,2749.862068965517,23610000
2025-10-14,TP,ABMM,1259,2750.0714853057984,346234000
2025-10-14,AG,ABMM,1,2750,275000
2025-10-14,YB,ABMM,1,2740,274000
2025-10-14,GR,ABMM,1032,2741.099384344767,282705000
2025-10-14,RF,ABMM,1,2762.7272727272725,269000
2025-10-14,DH,ABMM,733,2750,201533000
2025-10-14,OD,ABMM,511,2749.8837209302324,140517000
2025-10-14,AT,ABMM,2,2745,549000
2025-10-14,YJ,ABMM,500,2750,137500000
2025-10-14,CP,ABMM,243,2752.7936507936506,66913000
2025-10-14,DR,ABMM,67,2750.3418803418804,18379000
2025-10-14,DX,ABMM,10,2740,2740000
2025-10-14,KI,ABMM,61,2745.901639344262,16750000
2025-10-14,IF,ABMM,25,2756,6890000
2025-10-14,HP,ABMM,11,2768.181818181818,3045000
2025-10-14,EP,ABMM,32,2746.818181818182,8804000
2025-10-14,FS,ABMM,18,2760,4968000
2025-10-14,RG,ABMM,20,2745,5490000
2025-10-14,NI,ABMM,-326,2750.645792563601,-89664000
2025-10-14,XL,ABMM,-987,2746.4518364518362,-269200000
2025-10-14,PD,ABMM,-927,2756.4353312302837,-255326000
2025-10-14,XC,ABMM,-890,2746.3333333333335,-244369000
2025-10-14,YP,ABMM,-525,2753.519525457242,-143889000
2025-10-14,BQ,ABMM,-27,2750,-7425000
