Date,Broker,Ticker,Lot,Avg,Value
2025-10-03,LG,AALI,1035,7885.861594867094,815980000
2025-10-03,ZP,AALI,4664,7885.593993190661,3674580000
2025-10-03,FS,AALI,5,7825,3912500
2025-10-03,AT,AALI,3,7900,2380000
2025-10-03,KZ,AALI,1319,7899.241849886277,1041910000
2025-10-03,BK,AALI,867,7885.472972972973,682215000
2025-10-03,MI,AALI,37,7800,28860000
2025-10-03,PP,AALI,19,7975,15152500
2025-10-03,DR,AALI,23,7841.346153846154,18017500
2025-10-03,BB,AALI,597,7900.753768844221,471675000
2025-10-03,GR,AALI,578,7842.460317460317,453032500
2025-10-03,TP,AALI,401,7856.670673076923,314987500
2025-10-03,MG,AALI,19,7825,14867500
2025-10-03,IF,AALI,20,7950,16150000
2025-10-03,CP,AALI,312,7949.1567460317465,248472500
2025-10-03,YP,AALI,207,7885.192673644148,163852500
2025-10-03,AG,AALI,20,7825,15650000
2025-10-03,DX,AALI,43,7918.287037037037,34302500
2025-10-03,YJ,AALI,42,7870.238095238095,33055000
2025-10-03,PD,AALI,-2079,7859.168887408395,-1628632500
2025-10-03,CC,AALI,-2391,7875,-1883337500
2025-10-03,OD,AALI,-969,7900.06443298969,-766267500
2025-10-03,PS,AALI,-1,7875,-787500
2025-10-03,MU,AALI,-1,7850,-785000
2025-10-03,KK,AALI,-851,7871.544715447155,-669882500
2025-10-03,AK,AALI,-689,7918.7275341480945,-548525000
2025-10-03,XA,AALI,-5,7900,-3950000
2025-10-03,YB,AALI,-62,7834.274193548387,-48572500
2025-10-03,XC,AALI,-612,7892.350260416667,-482465000
2025-10-03,AI,AALI,-105,7900,-82950000
2025-10-03,DH,AALI,-99,7843.75,-77650000
2025-10-03,HP,AALI,-605,7909.9009900990095,-478557500
2025-10-03,XL,AALI,-509,7864.817232375979,-399872500
2025-10-03,YU,AALI,-170,7924.773755656109,-135062500
2025-10-03,HD,AALI,-15,7874.193548387097,-11890000
2025-10-03,AZ,AALI,-128,7907.518796992481,-101245000
2025-10-03,EP,AALI,-7,7894.675925925926,-5852500
2025-10-03,SQ,AALI,-115,7905.478087649402,-91652500
2025-10-03,NI,AALI,-331,7848.78223495702,-259737500
2025-10-03,ES,AALI,-285,7875,-224550000
2025-10-03,LS,AALI,-15,7875,-11812500
2025-10-03,BQ,AALI,-151,7912.4688279301745,-121590000
2025-10-03,KI,AALI,-14,7914.285714285715,-11080000
