Date,Broker,Ticker,Lot,Avg,Value
2025-10-02,CC,AALI,1452,7877.676322418136,1137505000
2025-10-02,YU,AALI,4345,7956.593785960875,3457140000
2025-10-02,AK,AALI,4772,7961.568787384448,3798615000
2025-10-02,OD,AALI,444,7903.557874762809,350402500
2025-10-02,CP,AALI,406,7899.146695715323,317000000
2025-10-02,HP,AALI,18,7950,14310000
2025-10-02,KI,AALI,11,7995.833333333333,8800000
2025-10-02,ZR,AALI,1,7925,792500
2025-10-02,RG,AALI,3,7900,2370000
2025-10-02,HD,AALI,14,7898.9795918367345,10592500
2025-10-02,XC,AALI,169,7937.092833876221,133712500
2025-10-02,AZ,AALI,114,7942.446043165468,90552500
2025-10-02,AG,AALI,5,7950,3975000
2025-10-02,AT,AALI,5,7941.666666666667,3957500
2025-10-02,AO,AALI,100,7950,79500000
2025-10-02,XL,AALI,81,7934.665871121719,63675000
2025-10-02,XA,AALI,35,7941.428571428572,27795000
2025-10-02,PS,AALI,1,7950,795000
2025-10-02,GR,AALI,-223,7932.627118644068,-177060000
2025-10-02,YP,AALI,-3976,7898.323056801196,-3135645000
2025-10-02,KK,AALI,-2346,7924.094548227221,-1857750000
2025-10-02,ZP,AALI,-1977,7950.695652173913,-1572435000
2025-10-02,ES,AALI,-1000,7962.5,-796250000
2025-10-02,EP,AALI,-8,7943.9497716894975,-6425000
2025-10-02,AI,AALI,-576,8000,-460920000
2025-10-02,BK,AALI,-101,7957.666015625,-80820000
2025-10-02,RF,AALI,-63,8000,-50400000
2025-10-02,YJ,AALI,-38,7952.380952380952,-30250000
2025-10-02,PD,AALI,-105,7940.958549222798,-85540000
2025-10-02,PP,AALI,-10,7950,-7950000
2025-10-02,DX,AALI,-431,7998.747390396659,-345000000
2025-10-02,DH,AALI,-10,7973.055555555556,-8170000
2025-10-02,BS,AALI,-400,7950,-318000000
2025-10-02,TP,AALI,-77,7958.196721311476,-61427500
2025-10-02,LG,AALI,-36,7956.603773584906,-28967500
2025-10-02,RO,AALI,-5,7975,-3987500
2025-10-02,DR,AALI,-187,7971.0093896713615,-149175000
2025-10-02,YB,AALI,-56,7854.310344827586,-43967500
2025-10-02,BQ,AALI,-2,8025,-1605000
2025-10-02,MI,AALI,0,7950,-1000000
2025-10-02,NI,AALI,-218,7948.595505617977,-173427500
2025-10-02,CD,AALI,-100,7975,-80500000
2025-10-02,SQ,AALI,-31,7957.4324324324325,-24817500
2025-10-02,OD,ABBA,76767,62,475955400
2025-10-02,MG,ABBA,20845,62,129239000
2025-10-02,YB,ABBA,300,62,1860000
2025-10-02,XL,ABBA,-6611,62,-40988200
2025-10-02,YP,ABBA,-9092,62,-56370400
2025-10-02,NI,ABBA,-48483,62,-300594600
2025-10-02,GR,ABBA,-12000,62,-74400000
2025-10-02,AT,ABBA,-200,62,-1240000
2025-10-02,DR,ABBA,-20,62,-124000
2025-10-02,CC,ABBA,-7615,62,-47213000
2025-10-02,XC,ABBA,-3962,62,-24564400
2025-10-02,TP,ABBA,-10,62,-62000
2025-10-02,BQ,ABBA,-15,62,-93000
2025-10-02,SQ,ABBA,-3000,62,-18600000
2025-10-02,AG,ABBA,-2100,62,-13020000
2025-10-02,EP,ABBA,-2,62,-12400
2025-10-02,AI,ABBA,-50,62,-310000
2025-10-02,PD,ABBA,-556,62,-3447200
2025-10-02,CP,ABBA,-128,62,-793600
2025-10-02,ZP,ABBA,-10,62,-62000
2025-10-02,GI,ABBA,-4,62,-24800
2025-10-02,LG,ABBA,-172,62,-1066400
2025-10-02,DX,ABBA,-2000,62,-12400000
2025-10-02,KK,ABBA,-1872,62,-11606400
2025-10-02,AN,ABBA,-10,62,-62000
2025-10-02,YP,ABDA,2,2970,594000
2025-10-02,CC,ABDA,-1,2970,-297000
2025-10-02,XL,ABDA,-1,2970,-297000
2025-10-02,EP,ABMM,112,2861.967213114754,32056000
2025-10-02,CC,ABMM,2886,2867.9167771004504,827821000
2025-10-02,YU,ABMM,658,2863.2370820668693,188401000
2025-10-02,PD,ABMM,21,2864.9242424242425,5985000
2025-10-02,OD,ABMM,3,2866.0526315789475,846000
2025-10-02,HD,ABMM,3,2870,861000
2025-10-02,KK,ABMM,535,2864.926470588235,153269000
2025-10-02,CD,ABMM,10,2850,2850000
2025-10-02,CP,ABMM,20,2870,5744000
2025-10-02,TP,ABMM,26,2870,7482000
2025-10-02,HP,ABMM,26,2860,7436000
2025-10-02,YP,ABMM,143,2868.3420593368237,41010000
2025-10-02,KI,ABMM,1,2860,286000
2025-10-02,XL,ABMM,53,2866.8270944741535,15457000
2025-10-02,XA,ABMM,51,2865.098039215686,14612000
2025-10-02,AZ,ABMM,37,2870,10619000
2025-10-02,AK,ABMM,35,2861.951219512195,10013000
2025-10-02,AI,ABMM,35,2860,10010000
2025-10-02,XC,ABMM,-115,2866.533864541833,-32997000
2025-10-02,NI,ABMM,-2683,2870,-770022000
2025-10-02,SQ,ABMM,-527,2860.422360248447,-150634000
2025-10-02,LG,ABMM,-22,2860,-6292000
2025-10-02,IF,ABMM,-325,2860.6153846153848,-92970000
2025-10-02,DX,ABMM,-300,2870,-86100000
2025-10-02,DH,ABMM,-252,2861.968503937008,-72122000
2025-10-02,DR,ABMM,-121,2872.147239263804,-34803000
2025-10-02,GR,ABMM,-102,2860,-29134000
2025-10-02,ES,ABMM,-100,2870,-28700000
2025-10-02,YB,ABMM,-6,2870,-1722000
2025-10-02,PC,ABMM,-90,2870,-25830000
2025-10-02,RF,ABMM,-12,2860,-3432000
2025-10-02,GR,ACES,5281,423.4738697635836,223897200
2025-10-02,DP,ACES,167000,424.06043113772455,7081809200
2025-10-02,CC,ACES,8816,423.3648887318969,372847000
2025-10-02,SQ,ACES,3787,423.89009326947314,160533200
2025-10-02,XA,ACES,204,423.54070981210856,8640800
2025-10-02,PC,ACES,18,421.1111111111111,758000
2025-10-02,XC,ACES,3460,423.4858803986711,146346400
2025-10-02,RG,ACES,44,426,1874400
2025-10-02,DR,ACES,484,422.64805990469705,20345400
2025-10-02,IU,ACES,2,423,84600
2025-10-02,PO,ACES,20,426,852000
2025-10-02,YU,ACES,2125,423.05882352941177,89900000
2025-10-02,BQ,ACES,1841,422.74986666666666,77825000
2025-10-02,YB,ACES,1637,422.0057603686636,69096000
2025-10-02,IF,ACES,94,422.3191489361702,3969800
2025-10-02,EP,ACES,1611,423.1616438356164,68196800
2025-10-02,AG,ACES,565,423.16106194690263,23908600
2025-10-02,DX,ACES,212,422.9339622641509,8966200
2025-10-02,SS,ACES,1000,424,42400000
2025-10-02,AZ,ACES,63,422.1008695652174,2562000
2025-10-02,HD,ACES,217,424.93506493506493,9288200
2025-10-02,LG,ACES,199,422.19649122807016,8400200
2025-10-02,CD,ACES,8,424,339200
2025-10-02,BB,ACES,-38351,423.643399129097,-1624714800
2025-10-02,YP,ACES,-64279,424.0808989795801,-2727753800
2025-10-02,LS,ACES,-250,424,-10600000
2025-10-02,ZP,ACES,-52129,423.5732993280691,-2205860800
2025-10-02,BK,ACES,-20808,424.08740773222246,-880599200
2025-10-02,PD,ACES,-8120,423.7709592997022,-344394600
2025-10-02,NI,ACES,-2929,424.1178299393751,-124421800
2025-10-02,AK,ACES,-1060,422.3693891454091,-42355800
2025-10-02,TP,ACES,-225,422.72704128023275,-9294800
2025-10-02,XL,ACES,-133,423.6751981727798,-8505800
2025-10-02,OD,ACES,-2357,423.7191253464737,-99909600
2025-10-02,KK,ACES,-555,424.2547890468915,-24514400
2025-10-02,AR,ACES,-400,424,-16960000
2025-10-02,KI,ACES,-17,424,-720800
2025-10-02,CP,ACES,-1282,425.2781954887218,-54527400
2025-10-02,AO,ACES,-2200,425.72727272727275,-93660000
2025-10-02,AI,ACES,-5,424,-213000
2025-10-02,HP,ACES,-128,422,-5360600
2025-10-02,MU,ACES,-50,423.3333333333333,-2130000
2025-10-02,AT,ACES,-1747,425.62939297124603,-74386600
2025-10-02,DH,ACES,-1663,425.51633259094285,-71956400
2025-10-02,YP,ACST,2513,149.2407151923183,38540300
2025-10-02,XL,ACST,6157,148.78560812982005,92794300
2025-10-02,CD,ACST,1,149,14900
2025-10-02,YJ,ACST,6016,146.01030585106383,87839800
2025-10-02,NI,ACST,611,148.79152601559773,10299400
2025-10-02,BQ,ACST,3555,148.03582554517135,52512600
2025-10-02,DH,ACST,2795,149.97870311506676,43150400
2025-10-02,HP,ACST,1345,148.46737588652482,19967500
2025-10-02,GR,ACST,1041,148.89492430988423,15518700
2025-10-02,XC,ACST,2424,148.5362652544324,35562400
2025-10-02,KK,ACST,2159,148.64974466806848,31963300
2025-10-02,CP,ACST,2007,148.54660347551342,29793300
2025-10-02,IF,ACST,10,148,148000
2025-10-02,AK,ACST,1589,150,23802800
2025-10-02,ZP,ACST,49,148,725200
2025-10-02,YU,ACST,1490,147,21904000
2025-10-02,OD,ACST,989,149.3959349593496,14913200
2025-10-02,AO,ACST,573,147.25479930191972,8437700
2025-10-02,LG,ACST,968,149.03333333333333,14436400
2025-10-02,AG,ACST,350,149,5515000
2025-10-02,AZ,ACST,-1894,148.9384164222874,-28231700
2025-10-02,CC,ACST,-19749,149.22439219877103,-296726600
2025-10-02,PD,ACST,-6555,148.50075263421977,-96918400
2025-10-02,YB,ACST,-3858,149.6643990929705,-57941900
2025-10-02,AI,ACST,-2000,146,-29200000
2025-10-02,XA,ACST,-929,149.68556430446193,-14030200
2025-10-02,SQ,ACST,-689,148.5068870523416,-10326900
2025-10-02,DR,ACST,-215,148.62222222222223,-3226200
2025-10-02,TP,ACST,-159,151.30113636363637,-2413000
2025-10-02,KI,ACST,-97,149.25,-1441700
2025-10-02,EP,ACST,-211,148.2677551020408,-2948000
2025-10-02,AT,ACST,-14,149.40740740740742,-212300
2025-10-02,MG,ACST,-165,150,-2508500
2025-10-02,ZR,ACST,-5,148,-74000
2025-10-02,GI,ACST,-2,149,-29800
2025-10-02,RG,ACST,0,148,-100000
2025-10-02,FZ,ACST,-100,151,-1510000
2025-10-02,XL,ADES,264,13644.032258064517,361065000
2025-10-02,CC,ADES,197,13645.142180094786,269025000
2025-10-02,AO,ADES,101,13400.247524752474,135342500
2025-10-02,PD,ADES,51,13533.333333333334,68900000
2025-10-02,AZ,ADES,27,13454.62962962963,36327500
2025-10-02,GR,ADES,4,13468.75,5387500
2025-10-02,MG,ADES,3,13600,4080000
2025-10-02,AK,ADES,1,13475,1347500
2025-10-02,TP,ADES,1,13450,1345000
2025-10-02,NI,ADES,-18,13738.888888888889,-24730000
2025-10-02,KK,ADES,-162,13510.493827160493,-218870000
2025-10-02,ZP,ADES,-150,13700,-205500000
2025-10-02,CP,ADES,-101,13679.20792079208,-138160000
2025-10-02,YP,ADES,-95,13443.697478991597,-127670000
2025-10-02,EP,ADES,-1,13600,-1360000
2025-10-02,AT,ADES,-1,13575,-1357500
2025-10-02,XC,ADES,-81,13647.010869565218,-110730000
2025-10-02,OD,ADES,-26,13516.666666666666,-35130000
2025-10-02,LG,ADES,-10,13640.90909090909,-13645000
2025-10-02,KI,ADES,-3,13616.666666666666,-4085000
2025-10-02,CD,ADES,-1,13775,-1377500
2025-10-02,SQ,ADES,0,13775,-205000
2025-10-02,EP,ADHI,15211,279.1311803372392,423504000
2025-10-02,NI,ADHI,11873,281.44788220795226,334639200
2025-10-02,ES,ADHI,40,280,1120000
2025-10-02,FZ,ADHI,8000,282,225540000
2025-10-02,YB,ADHI,406,280.472602739726,11380800
2025-10-02,DX,ADHI,66,280,1847200
2025-10-02,CC,ADHI,4522,281.75718849840257,127849800
2025-10-02,DR,ADHI,4199,279.0216807023831,116948400
2025-10-02,XL,ADHI,2997,280.28221053047986,86756800
2025-10-02,FS,ADHI,20,280,560000
2025-10-02,AT,ADHI,19,279.6842105263158,531400
2025-10-02,TP,ADHI,2232,280.1881258941345,62415000
2025-10-02,GR,ADHI,2058,280.4026597709642,57518400
2025-10-02,YU,ADHI,125,278.4088888888889,3424200
2025-10-02,FO,ADHI,100,276,2760000
2025-10-02,AG,ADHI,1000,280,28000000
2025-10-02,RO,ADHI,1000,278,27800000
2025-10-02,IF,ADHI,930,279.5698924731183,26000000
2025-10-02,OD,ADHI,-9796,280.0234220166957,-274476600
2025-10-02,ZP,ADHI,-17973,278.24631929330434,-499994600
2025-10-02,CP,ADHI,-10231,282.0769781767824,-288927800
2025-10-02,AZ,ADHI,-1053,280,-29484000
2025-10-02,YP,ADHI,-1030,279.2706124215538,-27236400
2025-10-02,LG,ADHI,-2174,280.1132075471698,-60937800
2025-10-02,SH,ADHI,-280,278,-7786000
2025-10-02,HD,ADHI,-692,281.9694989106754,-19587200
2025-10-02,BK,ADHI,-1912,279.9926778242678,-53534600
2025-10-02,KK,ADHI,-1823,280.5703083229371,-51663400
2025-10-02,KI,ADHI,-50,282,-1410000
2025-10-02,XA,ADHI,-549,281.7765765765766,-15470600
2025-10-02,HP,ADHI,-1735,278,-48232000
2025-10-02,PD,ADHI,-1652,281.6501864159507,-47416200
2025-10-02,XC,ADHI,-1277,280.7975931806786,-36691800
2025-10-02,BQ,ADHI,-134,280,-3666000
2025-10-02,DH,ADHI,-235,282.0985010706638,-6721400
2025-10-02,MG,ADHI,-1214,283.16974169741695,-34812000
2025-10-02,AK,ADHI,-291,280.2894736842105,-8240200
2025-10-02,SQ,ADHI,-697,282.12796529754644,-22306600
2025-10-02,KK,ADMF,74,8800.337837837838,65122500
2025-10-02,YP,ADMF,372,8805.603448275862,327462500
2025-10-02,NI,ADMF,140,8834.806034482759,124010000
2025-10-02,LS,ADMF,3,8850,2655000
2025-10-02,RG,ADMF,112,8802.00892857143,98582500
2025-10-02,HP,ADMF,1,8850,885000
2025-10-02,AZ,ADMF,1,8800,880000
2025-10-02,XC,ADMF,81,8826.550387596899,71422500
2025-10-02,CP,ADMF,6,8786.206896551725,4990000
2025-10-02,OD,ADMF,0,8840.555555555555,90000
2025-10-02,DX,ADMF,60,8775,52650000
2025-10-02,DR,ADMF,44,8837.5,38885000
2025-10-02,ES,ADMF,7,8764.285714285714,6135000
2025-10-02,AG,ADMF,30,8795.93023255814,26342500
2025-10-02,YU,ADMF,16,8825,14072500
2025-10-02,MI,ADMF,10,8800,8800000
2025-10-02,KI,ADMF,1,8825,882500
2025-10-02,BQ,ADMF,11,8775,9652500
2025-10-02,AN,ADMF,11,8875,9762500
2025-10-02,XA,ADMF,1,8775,877500
2025-10-02,ZP,ADMF,7,8782.142857142857,6147500
2025-10-02,IF,ADMF,-3,8850,-2655000
2025-10-02,PD,ADMF,-543,8798.930481283422,-477865000
2025-10-02,CC,ADMF,-236,8807.963988919668,-207685000
2025-10-02,XL,ADMF,-80,8839.781746031746,-70825000
2025-10-02,GR,ADMF,-69,8848.089171974523,-61260000
2025-10-02,SQ,ADMF,-23,8766.883116883117,-19780000
2025-10-02,TP,ADMF,0,9000,-15000
2025-10-02,EP,ADMF,-2,8843.75,-1782500
2025-10-02,YJ,ADMF,-15,8825,-13237500
2025-10-02,LG,ADMF,-1,8825,-882500
2025-10-02,BK,ADMF,-7,8814.285714285714,-6170000
2025-10-02,YB,ADMF,-7,8775,-6120000
2025-10-02,DH,ADMF,-2,9000,-2030000
2025-10-02,NI,ADMG,467,139.14102564102564,6497900
2025-10-02,YP,ADMG,642,139.54842219804135,8942300
2025-10-02,AZ,ADMG,117,140,1638000
2025-10-02,XC,ADMG,104,139.12673611111111,1406800
2025-10-02,CC,ADMG,95,140.00925925925927,1330100
2025-10-02,KI,ADMG,50,139,695000
2025-10-02,LG,ADMG,25,140,350000
2025-10-02,KK,ADMG,18,139,250200
2025-10-02,OD,ADMG,3,141,42300
2025-10-02,CD,ADMG,10,141,141000
2025-10-02,YB,ADMG,9,139,125100
2025-10-02,AK,ADMG,3,139,41700
2025-10-02,PD,ADMG,-728,139.24175824175825,-10136800
2025-10-02,SQ,ADMG,-602,138.65069551777435,-8344200
2025-10-02,EP,ADMG,-148,140,-2072000
2025-10-02,DH,ADMG,-35,139.71428571428572,-489000
2025-10-02,XL,ADMG,-25,139.69230769230768,-349400
2025-10-02,GR,ADMG,-5,138,-69000
2025-10-02,DX,ADRO,7050,1681.0356301122972,1184989500
2025-10-02,XL,ADRO,34662,1681.707887577097,5810233000
2025-10-02,YP,ADRO,26537,1684.0371694303776,4461365500
2025-10-02,BK,ADRO,16612,1689.6649822558247,2810625500
2025-10-02,CP,ADRO,3423,1686.1388310529446,572907000
2025-10-02,DR,ADRO,2239,1678.3172761112328,371297000
2025-10-02,TP,ADRO,11571,1683.6503887269193,1960835000
2025-10-02,AZ,ADRO,1662,1683.2744340143568,278114000
2025-10-02,AG,ADRO,569,1676.7464788732395,95287500
2025-10-02,GR,ADRO,1721,1683.716822258832,284032000
2025-10-02,ZP,ADRO,4134,1687.4952441344324,703719000
2025-10-02,EP,ADRO,6387,1693.4465345771337,1088596000
2025-10-02,SA,ADRO,1000,1675,167500000
2025-10-02,QA,ADRO,334,1685,56279000
2025-10-02,KI,ADRO,3119,1675.4538109345542,521870500
2025-10-02,MG,ADRO,1984,1690.9724192277383,331758500
2025-10-02,LG,ADRO,5511,1681.6145398943563,926132500
2025-10-02,AI,ADRO,4521,1676.6178055615435,757782000
2025-10-02,AK,ADRO,4309,1682.7262211646507,717809000
2025-10-02,XC,ADRO,400,1681.880198019802,64665000
2025-10-02,BQ,ADRO,1117,1688.757785467128,189937000
2025-10-02,AO,ADRO,735,1685,123852000
2025-10-02,SQ,ADRO,3263,1681.1098749328628,544420500
2025-10-02,OD,ADRO,5117,1676.0300832661833,854347000
2025-10-02,YB,ADRO,5040,1678.5675280726043,841820500
2025-10-02,BB,ADRO,-51671,1680.0467331877808,-8681390000
2025-10-02,CC,ADRO,-49324,1680.4063195952178,-8280311500
2025-10-02,PD,ADRO,-29811,1683.115323102052,-5019735500
2025-10-02,YU,ADRO,-13071,1684.080379080379,-2201779000
2025-10-02,NI,ADRO,-2619,1678.441485895168,-437308500
2025-10-02,IF,ADRO,-1614,1675.01953125,-269915500
2025-10-02,HD,ADRO,-1414,1684.0080527086384,-236565500
2025-10-02,XA,ADRO,-1275,1680.1287001287,-214212000
2025-10-02,KK,ADRO,-1127,1682.6258178158027,-190564500
2025-10-02,CD,ADRO,-481,1683.6470588235295,-80975000
2025-10-02,DH,ADRO,-363,1683.9599802371542,-62193000
2025-10-02,HP,ADRO,-267,1685.1198630136987,-44828500
2025-10-02,LS,ADRO,-590,1672.5,-98675000
2025-10-02,IU,ADRO,-10,1685,-1760000
2025-10-02,SH,ADRO,-10,1670,-1520000
2025-10-02,PC,ADRO,-2,1685,-341000
