Date,Broker,Ticker,Lot,Avg,Value
2025-10-07,PD,AALI,1551,7470.732323232323,1159950000
2025-10-07,YP,AALI,1065,7447.089218050292,791545000
2025-10-07,XL,AALI,162,7450.152041702867,121145000
2025-10-07,AK,AALI,972,7466.587677725119,725047500
2025-10-07,GR,AALI,188,7460.1,140225000
2025-10-07,HD,AALI,7,7455.851063829788,5055000
2025-10-07,AI,AALI,20,7475,14950000
2025-10-07,KI,AALI,10,7437.5,7437500
2025-10-07,CC,AALI,776,7476.114790286976,582010000
2025-10-07,YB,AALI,42,7475.403225806452,31547500
2025-10-07,KK,AALI,684,7462.870012870013,510440000
2025-10-07,SQ,AALI,663,7446.875,493900000
2025-10-07,YU,AALI,238,7471.322160148976,179900000
2025-10-07,CP,AALI,89,7437.335526315789,65947500
2025-10-07,PP,AALI,7,7400,5180000
2025-10-07,CD,AALI,200,7541.666666666667,150750000
2025-10-07,MI,AALI,63,7500,47250000
2025-10-07,DR,AALI,85,7417.492711370262,62245000
2025-10-07,LG,AALI,17,7453.45744680851,12192500
2025-10-07,XA,AALI,10,7450,7450000
2025-10-07,DH,AALI,52,7451.551724137931,38572500
2025-10-07,YJ,AALI,40,7428.125,29712500
2025-10-07,OD,AALI,193,7454.347826086957,143610000
2025-10-07,BK,AALI,112,7473.263888888889,84127500
2025-10-07,MG,AALI,106,7450,78970000
2025-10-07,AZ,AALI,-185,7463.492063492064,-138795000
2025-10-07,ZP,AALI,-2945,7463.465943799633,-2196490000
2025-10-07,NI,AALI,-2420,7451.339113680154,-1802945000
2025-10-07,BS,AALI,-840,7545.119047619048,-633790000
2025-10-07,HP,AALI,-420,7466.44893111639,-313597500
2025-10-07,EP,AALI,-298,7455.4812834224595,-221102500
2025-10-07,TP,AALI,-138,7454.016064257028,-103155000
2025-10-07,XC,AALI,-45,7451.162790697675,-33427500
2025-10-07,AG,AALI,-20,7450,-14900000
2025-10-07,AT,AALI,-12,7550,-9210000
2025-10-07,BQ,AALI,-4,7429.166666666667,-2990000
2025-10-07,LS,AALI,-19,7475,-14202500
2025-10-07,IF,AALI,-15,7500,-11250000
2025-10-07,MG,ABBA,40452,81,327661200
2025-10-07,AK,ABBA,30000,81,243000000
2025-10-07,PC,ABBA,25300,81,204930000
2025-10-07,XL,ABBA,19954,81,161627400
2025-10-07,XC,ABBA,5794,81,46931400
2025-10-07,YB,ABBA,4400,81,35640000
2025-10-07,HD,ABBA,890,81,7209000
