Date,Broker,Ticker,Lot,Avg,Value
2025-10-10,ZP,AALI,6186,7853.900898158015,4857427500
2025-10-10,BK,AALI,1598,7882.803632236095,1258407500
2025-10-10,PP,AALI,12,7800,9360000
2025-10-10,XC,AALI,1542,7946.470920383964,1227440000
2025-10-10,HP,AALI,11,7797.727272727273,8577500
2025-10-10,LS,AALI,2,7862.5,1572500
2025-10-10,PD,AALI,875,7889.661016949152,688955000
2025-10-10,TP,AALI,449,7940.985997666277,360487500
2025-10-10,CD,AALI,100,7875,78750000
2025-10-10,XL,AALI,66,7915.379008746356,57465000
2025-10-10,AK,AALI,80,7863.233792751404,54740000
2025-10-10,YJ,AALI,8,7950,6485000
2025-10-10,LG,AALI,10,7908.26359832636,6940000
2025-10-10,RF,AALI,5,7800,3900000
2025-10-10,AR,AALI,50,7925,39625000
2025-10-10,AT,AALI,43,7906.976744186047,34000000
2025-10-10,CP,AALI,-6034,7816.848906560636,-4716692500
2025-10-10,YP,AALI,-1240,7911.186224489796,-985982500
2025-10-10,IH,AALI,-10,7975,-7975000
2025-10-10,DR,AALI,-44,7966.161616161616,-35652500
2025-10-10,CC,AALI,-956,7896.014492753623,-752615000
2025-10-10,YB,AALI,-59,7926.271186440678,-46765000
2025-10-10,XA,AALI,-46,7975,-36885000
2025-10-10,YU,AALI,-587,7923.134863701578,-465745000
2025-10-10,AZ,AALI,-531,7910.969868173258,-420072500
2025-10-10,EP,AALI,-86,7909.566326530612,-69455000
2025-10-10,KK,AALI,-154,7935.663082437276,-122915000
2025-10-10,AO,AALI,-5,7950,-3975000
2025-10-10,NI,AALI,-265,7948.75730994152,-211465000
2025-10-10,MI,AALI,-100,7900,-79000000
2025-10-10,SQ,AALI,-90,7949.105621805792,-78170000
2025-10-10,KI,AALI,-8,7881.818181818182,-6292500
2025-10-10,OD,AALI,-231,7918.335459183673,-184700000
2025-10-10,FS,AALI,-120,7818.75,-93825000
2025-10-10,GR,AALI,-5,7955.637254901961,-5262500
2025-10-10,MG,AALI,-49,7974.489795918367,-39075000
2025-10-10,HD,AALI,-2,7903.125,-1757500
2025-10-10,IF,AALI,-2,8000,-1600000
2025-10-10,AI,AALI,-4,7900,-3160000
2025-10-10,DH,AALI,-214,7937.615740740741,-169862500
2025-10-10,BQ,AALI,-194,7946.917808219178,-154100000
2025-10-10,YP,ABBA,7650,87.74049084928734,67681900
2025-10-10,AZ,ABBA,29000,89,258900000
2025-10-10,AG,ABBA,12000,89,106800000
2025-10-10,HD,ABBA,1,90,9000
2025-10-10,YB,ABBA,590,81,4488200
2025-10-10,CP,ABBA,200,89,1780000
2025-10-10,SQ,ABBA,2912,89.74424991417783,26133600
2025-10-10,KK,ABBA,2665,88.44854972375691,23558800
2025-10-10,AI,ABBA,50,81,405000
2025-10-10,RF,ABBA,1000,89,8900000
2025-10-10,KI,ABBA,162,88.4074074074074,1432200
2025-10-10,GR,ABBA,10,81,81000
2025-10-10,NI,ABBA,1060,86.79127553837658,8434000
2025-10-10,LG,ABBA,744,86.69354838709677,6450000
2025-10-10,OD,ABBA,721,84.53213909378293,5990100
2025-10-10,DH,ABBA,4,89,35600
2025-10-10,PD,ABBA,813,84.09950507944777,5339400
2025-10-10,BQ,ABBA,-31,89,-275900
2025-10-10,PC,ABBA,-25300,89,-225170000
2025-10-10,XL,ABBA,-11598,88.15384758745364,-99712600
2025-10-10,CC,ABBA,-6301,87.46353387209419,-54885300
2025-10-10,MG,ABBA,-5900,89,-52500000
2025-10-10,XC,ABBA,-5447,88.66032196010934,-49035000
2025-10-10,PI,ABBA,-2835,90,-25515000
2025-10-10,EP,ABBA,-1965,89,-17488500
2025-10-10,DR,ABBA,-120,89,-1084000
2025-10-10,XA,ABBA,-80,89,-712000
2025-10-10,TP,ABBA,-5,81,-40500
2025-10-10,KK,ABDA,1,2690,269000
2025-10-10,YP,ABDA,-1,2690,-269000
2025-10-10,AZ,ABMM,389,2768.0205655526993,107676000
2025-10-10,PD,ABMM,1408,2796.916243654822,394040000
2025-10-10,SQ,ABMM,922,2788.893967093236,257273000
2025-10-10,XC,ABMM,698,2776.152125279642,193735000
2025-10-10,TP,ABMM,545,2776.5079365079364,151167000
2025-10-10,AK,ABMM,340,2770.304659498208,93976000
2025-10-10,CD,ABMM,100,2760,27600000
2025-10-10,KI,ABMM,1,2770,277000
2025-10-10,CP,ABMM,208,2782.5,57876000
2025-10-10,EP,ABMM,46,2782.8260869565215,12801000
2025-10-10,HP,ABMM,20,2775,5550000
2025-10-10,ES,ABMM,200,2785,55700000
2025-10-10,GR,ABMM,47,2777.0833333333335,13051000
2025-10-10,XA,ABMM,1,2760,276000
2025-10-10,AO,ABMM,200,2770,55400000
2025-10-10,YU,ABMM,122,2774.2622950819673,33846000
2025-10-10,OD,ABMM,46,2785.625,12817000
2025-10-10,YP,ABMM,-577,2778.891537544696,-160409000
2025-10-10,CC,ABMM,-1512,2794.863364645602,-423375000
2025-10-10,KK,ABMM,-1278,2774.356237491661,-354506000
2025-10-10,AI,ABMM,-684,2760,-188784000
2025-10-10,DH,ABMM,-387,2778.2413793103447,-107666000
2025-10-10,BK,ABMM,-322,2791.3030303030305,-89905000
2025-10-10,XL,ABMM,-250,2782.6169844020797,-69749000
2025-10-10,DR,ABMM,-143,2784.8630136986303,-39829000
2025-10-10,YJ,ABMM,-97,2790,-27063000
2025-10-10,NI,ABMM,-37,2780.1324503311257,-10085000
2025-10-10,HD,ABMM,-6,2803.846153846154,-1690000
2025-10-10,PP,ACES,300,427.0466666666667,12811400
2025-10-10,YU,ACES,28293,427.27310544897233,1204336800
2025-10-10,ZP,ACES,18569,428.2807708944105,795546400
2025-10-10,AK,ACES,13198,427.61412603272316,565138800
2025-10-10,DH,ACES,1668,427.67671394799055,71439200
2025-10-10,BQ,ACES,1111,427.5380611581002,47525000
2025-10-10,RG,ACES,490,434,21274000
2025-10-10,HD,ACES,17,429.0466237942122,688800
2025-10-10,RO,ACES,1,426,42600
